Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C3, C4, C5, C6, C7",0402,8,100nF,C307331
C2,0603,1,10uF 25V,
"C8, C9",0402,2,1uF,C52923
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D8, D9",D_SOD-123,70,1N4148W,
J1,JST-SR-4,1,SM04B-SRSS-TB(LF)(SN),
R1,0402,1,10k,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW32, SW33, SW34, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW62, SW64, SW66, SW68, SW69, SW7, SW70, SW8, SW9",SW_MX_HS_1u,63,MX,
"SW18, SW31, SW61, SW63, SW65, SW67",SW_MX_HS_1.5u,6,MX,
SW35,SW_MX_HS_1.75u_STP_1.25,1,MX,
SW71,SW_SPST_SKQG_WithoutStem,1,SKQGABE010,
SW73,ROT_Alps_EC11E-Switch,1,Rotary_Encoder_Switch,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072C8T6,
U2,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
